npi,provider_name,specialty_id,credential,fte,is_active,hire_date,primary_location_id,primary_location_name,tenure_bucket
3514565391,Avery King,SP008,MD,0.95,1,2006-12-22,LC0001,Lake Oswego Clinic,10 plus Years
5875819851,Rowan Lopez,SP014,MD,0.9,1,2008-06-04,LC0001,Lake Oswego Clinic,10 plus Years
7527235834,Skyler Allen,SP031,NP,0.35,1,2016-08-04,LC0001,Lake Oswego Clinic,6 to 10 Years
4010088805,Jordan Allen,SP004,MD,0.95,1,2006-02-23,LC0001,Lake Oswego Clinic,10 plus Years
0253417308,Hayden Lee,SP006,MD,0.9,1,2016-09-24,LC0001,Lake Oswego Clinic,6 to 10 Years
7904878436,Avery Lewis,SP001,MD,0.95,1,2014-12-03,LC0001,Lake Oswego Clinic,10 plus Years
7126615354,Casey Wilson,SP008,MD,0.95,1,2014-09-26,LC0001,Lake Oswego Clinic,10 plus Years
9094743767,Rowan Lopez,SP004,MD,0.75,1,2018-09-26,LC0001,Lake Oswego Clinic,6 to 10 Years
1773963062,Emerson Smith,SP018,MD,1.0,1,2015-10-19,LC0001,Lake Oswego Clinic,6 to 10 Years
2754171489,Riley Wright,SP004,MD,1.0,1,2019-08-23,LC0001,Lake Oswego Clinic,6 to 10 Years
9995288962,Drew Kim,SP018,MD,1.0,1,2020-04-27,LC0001,Lake Oswego Clinic,3 to 5 Years
1548330876,Riley Williams,SP006,MD,1.0,1,2023-04-02,LC0001,Lake Oswego Clinic,0 to 2 Years
0444913124,Drew Brown,SP007,MD,0.9,1,2020-12-25,LC0003,Oregon City Surgery,3 to 5 Years
9906212149,Reese Wilson,SP007,MD,1.0,1,2015-09-15,LC0003,Oregon City Surgery,6 to 10 Years
9574002283,Reese Johnson,SP018,MD,1.0,1,2015-03-24,LC0003,Oregon City Surgery,6 to 10 Years
8865646778,Reese Young,SP012,NP,1.0,1,2010-06-02,LC0004,Tualatin Clinic,10 plus Years
6073758392,Taylor Jones,SP007,MD,1.0,1,2017-03-29,LC0005,Portland Clinic,6 to 10 Years
8345768354,Rowan Hernandez,SP024,MD,0.9,1,2008-08-10,LC0005,Portland Clinic,10 plus Years
4935183353,Rowan Martinez,SP016,MD,0.8,1,2023-06-17,LC0005,Portland Clinic,0 to 2 Years
4855103993,Rowan Hernandez,SP004,NP,1.0,1,2021-11-04,LC0005,Portland Clinic,3 to 5 Years
6631033125,Jordan Lewis,SP025,MD,1.0,1,2008-03-30,LC0005,Portland Clinic,10 plus Years
0696443155,Parker Patel,SP006,MD,1.0,1,2020-09-25,LC0005,Portland Clinic,3 to 5 Years
5042175678,Parker Miller,SP001,MD,1.0,0,2008-03-12,LC0005,Portland Clinic,10 plus Years
9868497691,Jordan Wright,SP012,MD,1.0,1,2019-07-10,LC0005,Portland Clinic,6 to 10 Years
5729674809,Casey Jones,SP003,DO,1.0,1,2007-08-24,LC0005,Portland Clinic,10 plus Years
1578465969,Parker Hall,SP005,PA,0.95,1,2015-02-25,LC0005,Portland Clinic,6 to 10 Years
4919128792,Finley Lewis,SP019,MD,1.0,1,2018-05-02,LC0005,Portland Clinic,6 to 10 Years
7630120576,Casey Hall,SP003,DO,1.0,0,2019-08-31,LC0005,Portland Clinic,6 to 10 Years
9489843928,Blake Wilson,SP022,MD,0.95,1,2013-11-06,LC0006,Happy Valley Clinic,10 plus Years
4076025580,Cameron Patel,SP027,MD,0.9,1,2023-04-12,LC0006,Happy Valley Clinic,0 to 2 Years
2948200393,Hayden King,SP016,DO,1.0,1,2020-07-07,LC0006,Happy Valley Clinic,3 to 5 Years
0319677678,Quinn Thomas,SP018,MD,0.95,1,2009-11-26,LC0006,Happy Valley Clinic,10 plus Years
0877383091,Quinn Garcia,SP018,MD,0.95,1,2018-08-01,LC0006,Happy Valley Clinic,6 to 10 Years
2162840958,Reese Clark,SP031,MD,0.8,1,2019-09-11,LC0006,Happy Valley Clinic,6 to 10 Years
2650746868,Emerson King,SP006,PA,1.0,1,2012-04-03,LC0006,Happy Valley Clinic,10 plus Years
6224853787,Quinn King,SP003,MD,1.0,1,2019-11-03,LC0006,Happy Valley Clinic,6 to 10 Years
9275431251,Cameron Lopez,SP014,MD,1.0,1,2022-11-04,LC0007,Lake Oswego Clinic 2,3 to 5 Years
8816063472,Reese Wright,SP014,MD,1.0,1,2021-04-26,LC0007,Lake Oswego Clinic 2,3 to 5 Years
4859627457,Finley Smith,SP004,MD,0.95,1,2020-04-18,LC0008,Milwaukie Clinic,3 to 5 Years
1151987759,Jordan Miller,SP017,MD,1.0,1,2017-11-23,LC0008,Milwaukie Clinic,6 to 10 Years
0349243117,Cameron Gonzalez,SP001,NP,1.0,1,2011-01-27,LC0008,Milwaukie Clinic,10 plus Years
3003250340,Quinn Anderson,SP026,DO,1.0,1,2020-11-27,LC0009,Portland Clinic 2,3 to 5 Years
